"V1","V2","V3","V4"
7.62159169884399,7.76947412989102,7.96508811064996,6.99015489895828
7.15088002500124,7.78732623904943,8.63670055987313,7.58227360085584
9.38276304863393,7.918290712405,7.6386501675006,8.82943811477162
7.86985063343309,5.30334046110511,7.42055464303121,7.0170407067053
8.70429855771363,8.50986220990308,9.0098850755021,5.77388324891217
5.92752715805545,5.28069004532881,9.49510889709927,8.25913362437859
6.57008191454224,7.50987034989521,7.91872116038576,9.40264243399724
9.21233198721893,5.10980664636008,5.68151779239997,6.19199791341089
5.11036094976589,6.44984673010185,9.69893359113485,7.99576903460547
6.53160991496406,6.69135371688753,6.71712873736396,5.54808424436487
6.42831849399954,5.41489096009172,7.64029594021849,7.33422702178359
5.53777408786118,9.22907141037285,6.71365998801775,5.75955412932672
7.3634813260287,5.39431311422959,8.0593403626699,9.4063747045584
8.68300061789341,8.65546481218189,8.92425190540962,5.85114519693889
8.83610512828454,9.35735404957086,8.41277105733752,6.1576284468174
5.9552000311669,5.30023306491785,8.37184695759788,5.63145939144306
7.07495574839413,9.7391714900732,7.46931748581119,6.8300975963939
7.1782156790141,9.23430814640597,6.20942366309464,9.31978868087754
6.63634478463791,7.6947726495564,6.43999544321559,5.24231847375631
5.88545834645629,9.74647224415094,8.56117604416795,6.71273813233711
