"V1","V2","V3","V4"
9.8211716755759,9.11264292313717,6.52425663196482,6.17617035284638
9.89653652417473,8.0039062758442,5.96718176500872,5.88906427845359
8.5268299060408,5.28956537833437,7.40839676815085,7.47913999017328
9.6101305517368,7.85358388791792,5.45015831710771,9.23025188501924
6.23389397049323,5.98715143394656,5.54537827847525,7.76381772127934
8.6789345019497,5.81144227064215,9.1567104740534,8.56800422072411
7.9217086546123,6.75647699390538,5.65116769401357,6.2996321474202
7.7509604091756,7.09008892416023,7.79722921550274,8.60511221573688
8.35478254011832,9.94920482276939,8.54251179029234,6.11694491817616
9.28669151267968,9.34463169658557,8.08772207004949,9.81548584997654
5.77412140206434,7.91791062103584,9.03136228094809,6.31419302662835
5.08745239465497,5.53771550534293,7.93223717948422,8.1525231921114
5.08523410419002,7.05675712437369,6.87340253498405,6.18860099813901
7.48519280576147,5.59602758614346,5.79548437381163,8.77971257898025
7.48074762523174,8.2329372712411,7.44929136242718,5.46142912120558
7.79059966793284,7.42841416620649,6.05748023139313,5.27636191574857
7.44620265555568,5.09463936439715,5.68203325150535,7.04660087008961
7.62246883008629,9.0855190216098,5.74788613128476,7.87266158265993
7.83776924828999,7.43864486808889,7.80763352755457,7.03074983204715
8.16740631591529,7.60336626553908,5.71890803752467,5.43146826326847
